city,native_code,native_desc,theme,severity_tier
Chicago,1,"SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE",approved_source_food_safety,T2
Chicago,2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,management_certification,T2
Chicago,3,"POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE",temperature_control,T2
Chicago,4,"SOURCE OF CROSS CONTAMINATION CONTROLLED I.E. CUTTING BOARDS, FOOD HANDLERS, UTENSILS, ETC",approved_source_food_safety,T2
Chicago,5,"PERSONNEL WITH INFECTIONS RESTRICTED: NO OPEN SORES, WOUNDS, ETC",hygiene_handwashing,T2
Chicago,6,"HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS.",hygiene_handwashing,T2
Chicago,7,WASH AND RINSE WATER: CLEAN AND PROPER TEMPERATURE,temperature_control,T2
Chicago,8,"SANITIZING RINSE FOR EQUIPMENT AND UTENSILS: CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME",temperature_control,T2
Chicago,9,NO BARE HAND CONTACT WITH RTE FOOD OR A PRE-APPROVED ALTERNATIVE PROCEDURE PROPERLY ALLOWED,cross_contamination_protection,T2
Chicago,10,"SEWAGE AND WASTE WATER DISPOSAL, NO BACK SIPHONAGE, CROSS CONNECTION AND/OR BACK FLOW",plumbing_sewage_water,T1
Chicago,11,"ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED",other_administrative,T2
Chicago,12,"HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA",hygiene_handwashing,T2
Chicago,13,"NO EVIDENCE OF RODENT OR INSECT INFESTATION, NO BIRDS, TURTLES OR OTHER ANIMALS",pest_vermin,T1
Chicago,14,"REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION",management_certification,T2
Chicago,15,UNWRAPPED AND POTENTIALLY HAZARDOUS FOOD NOT RE-SERVED,cross_contamination_protection,T2
Chicago,16,"FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION",cross_contamination_protection,T2
Chicago,17,"PROPER DISPOSITION OF RETURNED, PREVIOUSLY SERVED, RECONDITIONED & UNSAFE FOOD",cross_contamination_protection,T2
Chicago,18,"NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS",pest_vermin,T1
Chicago,19,"OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED",pest_vermin,T1
Chicago,20,"INSIDE CONTAINERS OR RECEPTACLES: ADEQUATE NUMBER, PROPERLY COVERED AND INSECT/RODENT PROOF",pest_vermin,T1
Chicago,21,* CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE PREPARED AND SERVED,management_certification,T2
Chicago,22,"DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK",food_contact_surface,T2
Chicago,23,"DISHES AND UTENSILS FLUSHED, SCRAPED, SOAKED",food_contact_surface,T2
Chicago,24,"DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED",food_contact_surface,T2
Chicago,25,CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD,cross_contamination_protection,T2
Chicago,26,"ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, PROPERLY DESIGNED AND INSTALLED",other_administrative,T2
Chicago,27,"TOILET ROOMS ENCLOSED CLEAN, PROVIDED WITH HAND CLEANSER, SANITARY HAND DRYING DEVICES AND PROPER WASTE RECEPTACLES",hygiene_handwashing,T2
Chicago,28,* INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS,other_administrative,T2
Chicago,29,COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP,management_certification,T2
Chicago,30,"FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED",management_certification,T3
Chicago,31,CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES,cross_contamination_protection,T3
Chicago,32,"FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED",food_contact_surface,T3
Chicago,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",food_contact_surface,T3
Chicago,34,"FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED",equipment_nonfood_surface,T3
Chicago,35,"WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS",equipment_nonfood_surface,T3
Chicago,36,"LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED",equipment_nonfood_surface,T3
Chicago,37,TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS,hygiene_handwashing,T3
Chicago,38,VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED,plumbing_sewage_water,T3
Chicago,39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",cross_contamination_protection,T3
Chicago,40,REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS,temperature_control,T3
Chicago,41,"PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING EQUIPMENT PROPERLY STORED",cross_contamination_protection,T3
Chicago,42,APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN,hygiene_handwashing,T3
Chicago,43,"FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED",cross_contamination_protection,T3
Chicago,44,"UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED",cross_contamination_protection,T3
Chicago,45,SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED,cross_contamination_protection,T3
Chicago,46,GLOVES USED PROPERLY,hygiene_handwashing,T3
Chicago,47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED",food_contact_surface,T3
Chicago,48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS",food_contact_surface,T3
Chicago,49,NON-FOOD/FOOD CONTACT SURFACES CLEAN,food_contact_surface,T3
Chicago,50,HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE,plumbing_sewage_water,T3
Chicago,51,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,plumbing_sewage_water,T3
Chicago,52,SEWAGE & WASTE WATER PROPERLY DISPOSED,plumbing_sewage_water,T1
